cntry,country,essround_yr,age_group,wellbeing_m_minus_w,wellbeing_color,wellbeing_men,wellbeing_woman,media_m_minus_w,media_color,media_men,media_woman,internet_m_minus_w,internet_color,internet_men,internet_woman,relig_m_minus_w,relig_color,relig_men,relig_woman,social_m_minus_w,social_color,social_men,social_woman,finstab_m_minus_w,finstab_color,finstab_men,finstab_woman,conservatism_m_minus_w,conservatism_color,conservatism_men,conservatism_woman,trust_m_minus_w,trust_color,trust_men,trust_woman
FR,France,2006,AGGREGATE,0.27,6,4.42,4.16,0.08,7.0,2.54,2.47,0.43,5.0,3.6,3.18,-0.41,10,2.12,2.52,0.08,7,4.05,3.97,0.11,7.0,4.58,4.47,0.08,7,3.15,3.08,-0.03,8,3.3,3.34
GB,United Kingdom,2006,25-39,0.27,6,4.63,4.36,0.19,7.0,2.67,2.49,0.54,5.0,5.01,4.47,-0.49,10,2.1,2.58,-0.09,8,3.73,3.82,0.17,7.0,4.57,4.39,0.16,7,3.17,3.0,0.0,7,3.39,3.39
GB,United Kingdom,2006,40-59,0.15,7,4.46,4.32,0.21,6.0,2.8,2.59,0.28,6.0,4.19,3.92,-0.37,9,2.21,2.57,-0.12,8,3.6,3.72,0.07,7.0,4.74,4.67,0.01,7,3.14,3.12,-0.07,8,3.33,3.4
GB,United Kingdom,2006,60+,0.28,6,4.43,4.14,0.07,7.0,2.95,2.88,0.36,6.0,2.51,2.15,-0.62,11,2.68,3.3,-0.03,8,3.79,3.82,0.06,7.0,4.93,4.88,-0.0,8,3.46,3.46,-0.09,8,3.36,3.45
GB,United Kingdom,2006,<25,0.31,6,4.7,4.39,-0.03,8.0,2.41,2.44,0.23,6.0,4.91,4.68,-0.23,9,2.01,2.24,0.18,7,4.36,4.19,-0.07,8.0,4.54,4.61,0.21,6,3.12,2.91,-0.13,8,3.41,3.54
GB,United Kingdom,2006,AGGREGATE,0.25,6,4.52,4.27,0.12,7.0,2.78,2.66,0.46,5.0,3.91,3.46,-0.5,10,2.31,2.81,-0.05,8,3.78,3.83,0.06,7.0,4.74,4.68,0.04,7,3.25,3.2,-0.07,8,3.36,3.43
HU,Hungary,2006,25-39,0.22,6,4.23,4.01,0.12,7.0,2.47,2.35,0.45,5.0,3.08,2.62,-0.35,9,2.18,2.53,0.5,5,3.48,2.99,0.3,6.0,3.79,3.49,-0.07,8,3.59,3.65,-0.23,9,2.86,3.1
HU,Hungary,2006,40-59,-0.14,8,3.68,3.82,0.25,6.0,2.69,2.44,-0.11,8.0,2.26,2.37,-0.45,10,2.23,2.68,0.26,6,3.14,2.88,-0.4,9.0,3.07,3.47,-0.04,8,3.64,3.68,-0.14,8,2.91,3.04
HU,Hungary,2006,60+,0.25,6,3.77,3.52,0.04,7.0,2.78,2.74,0.18,7.0,1.38,1.2,-1.0,12,2.69,3.69,-0.01,8,2.77,2.78,0.27,6.0,3.59,3.32,-0.03,8,3.77,3.8,-0.06,8,3.09,3.15
HU,Hungary,2006,<25,0.23,6,4.62,4.39,0.01,7.0,2.29,2.28,0.45,5.0,4.3,3.85,-0.12,8,2.24,2.36,0.07,7,3.98,3.91,0.45,5.0,4.0,3.55,-0.04,8,3.38,3.43,0.12,7,2.96,2.85
HU,Hungary,2006,AGGREGATE,0.15,7,3.93,3.78,0.1,7.0,2.63,2.53,0.27,6.0,2.32,2.06,-0.66,11,2.38,3.04,0.22,6,3.17,2.95,0.1,7.0,3.51,3.42,-0.04,8,3.65,3.69,-0.12,8,2.96,3.08
IE,Ireland,2006,25-39,0.23,6,4.71,4.48,0.19,7.0,2.78,2.6,0.41,5.0,4.16,3.76,-0.55,10,2.98,3.52,0.34,6,3.8,3.45,0.34,6.0,4.88,4.54,-0.08,8,2.9,2.98,-0.04,8,3.42,3.46
IE,Ireland,2006,40-59,0.11,7,4.65,4.54,0.11,7.0,2.96,2.85,0.03,7.0,3.52,3.49,-0.51,10,3.53,4.04,0.13,7,3.66,3.53,0.02,7.0,4.96,4.94,0.01,7,3.01,3.01,0.13,7,3.57,3.44
IE,Ireland,2006,60+,0.21,6,4.65,4.44,-0.12,8.0,3.08,3.2,0.25,6.0,2.16,1.92,-0.57,10,4.22,4.8,-0.11,8,3.61,3.72,0.09,7.0,4.99,4.9,-0.12,8,3.13,3.25,-0.06,8,3.63,3.69
IE,Ireland,2006,<25,0.18,7,4.74,4.56,0.12,7.0,2.49,2.37,-0.37,9.0,4.25,4.62,-0.41,10,2.97,3.38,0.15,7,4.38,4.23,-0.09,8.0,4.84,4.93,0.05,7,2.92,2.88,0.09,7,3.57,3.48
IE,Ireland,2006,AGGREGATE,0.18,7,4.68,4.5,0.08,7.0,2.9,2.82,0.08,7.0,3.37,3.29,-0.48,10,3.53,4.01,0.13,7,3.76,3.64,0.12,7.0,4.94,4.81,-0.04,8,3.01,3.05,0.03,7,3.55,3.52
NL,Netherlands,2006,25-39,0.16,7,4.69,4.53,0.12,7.0,2.51,2.39,0.2,7.0,5.27,5.07,0.02,7,2.41,2.39,-0.06,8,4.17,4.24,0.17,7.0,4.91,4.74,0.22,6,3.05,2.83,-0.0,8,3.82,3.83
NL,Netherlands,2006,40-59,0.1,7,4.56,4.46,-0.01,8.0,2.59,2.6,0.23,6.0,4.99,4.76,-0.29,9,2.49,2.77,-0.08,8,3.93,4.01,0.2,7.0,4.88,4.68,0.13,7,2.95,2.82,0.12,7,3.93,3.82
NL,Netherlands,2006,60+,0.22,6,4.5,4.29,0.01,7.0,2.83,2.82,0.82,3.0,3.3,2.47,-0.56,10,2.82,3.38,-0.22,9,3.76,3.99,0.26,6.0,5.01,4.75,0.0,7,3.1,3.09,0.08,7,3.78,3.7
NL,Netherlands,2006,<25,0.11,7,4.71,4.6,0.04,7.0,2.23,2.19,-0.15,8.0,5.5,5.64,-0.2,8,2.41,2.6,0.01,7,4.34,4.33,0.09,7.0,4.79,4.71,0.16,7,3.11,2.95,-0.22,9,3.73,3.95
NL,Netherlands,2006,AGGREGATE,0.15,7,4.59,4.43,0.03,7.0,2.62,2.59,0.4,6.0,4.57,4.18,-0.3,9,2.56,2.86,-0.11,8,3.97,4.08,0.2,6.0,4.92,4.72,0.11,7,3.03,2.92,0.05,7,3.84,3.79
NO,Norway,2006,25-39,0.14,7,5.04,4.89,0.1,7.0,2.56,2.46,0.17,7.0,5.48,5.31,-0.26,9,2.04,2.31,-0.1,8,4.1,4.21,0.19,7.0,5.07,4.88,0.32,6,3.14,2.82,-0.16,8,3.89,4.05
NO,Norway,2006,40-59,0.12,7,4.91,4.79,0.02,7.0,2.67,2.65,0.49,5.0,5.17,4.68,-0.46,10,2.12,2.58,0.01,7,4.1,4.1,0.25,6.0,5.2,4.95,0.18,7,3.11,2.93,-0.12,8,4.02,4.14
NO,Norway,2006,60+,0.22,6,4.82,4.59,-0.06,8.0,2.99,3.06,0.65,4.0,3.2,2.55,-0.67,11,2.47,3.13,-0.24,9,3.79,4.04,0.11,7.0,5.28,5.17,0.07,7,3.41,3.34,0.01,7,4.03,4.03
NO,Norway,2006,<25,0.33,6,5.13,4.8,0.17,7.0,2.39,2.22,0.18,7.0,5.67,5.49,-0.22,9,2.1,2.32,0.08,7,4.64,4.56,0.18,7.0,5.04,4.85,0.25,6,3.09,2.84,-0.07,8,3.94,4.01
NO,Norway,2006,AGGREGATE,0.19,7,4.95,4.76,0.03,7.0,2.68,2.65,0.47,5.0,4.85,4.38,-0.45,10,2.18,2.63,-0.06,8,4.11,4.17,0.19,7.0,5.17,4.98,0.19,7,3.19,3.0,-0.09,8,3.98,4.07
PL,Poland,2006,25-39,0.16,7,4.57,4.41,-0.02,8.0,2.59,2.61,0.15,7.0,3.44,3.28,-0.52,10,3.82,4.33,0.03,7,3.44,3.41,0.24,6.0,4.08,3.84,0.09,7,3.32,3.23,-0.08,8,2.74,2.82
PL,Poland,2006,40-59,0.1,7,4.1,3.99,0.08,7.0,2.69,2.6,0.04,7.0,2.43,2.39,-0.61,11,3.91,4.52,0.05,7,3.11,3.06,0.13,7.0,3.66,3.53,-0.03,8,3.4,3.43,-0.0,8,2.77,2.77
PL,Poland,2006,60+,0.19,7,3.91,3.72,0.01,7.0,2.67,2.66,0.18,7.0,1.5,1.32,-0.65,11,4.22,4.87,0.15,7,3.11,2.96,0.02,7.0,3.55,3.53,-0.03,8,3.72,3.74,-0.13,8,2.85,2.97
PL,Poland,2006,<25,0.24,6,4.79,4.55,-0.18,8.0,2.34,2.52,0.08,7.0,4.4,4.32,-0.52,10,3.65,4.17,0.09,7,4.2,4.11,-0.12,8.0,4.19,4.3,0.14,7,3.3,3.16,-0.16,8,2.71,2.86
PL,Poland,2006,AGGREGATE,0.2,6,4.32,4.12,-0.02,8.0,2.58,2.6,0.25,6.0,2.91,2.67,-0.61,11,3.89,4.5,0.12,7,3.43,3.31,0.11,7.0,3.85,3.74,0.02,7,3.42,3.4,-0.09,8,2.76,2.85
PT,Portugal,2006,25-39,0.18,7,4.33,4.14,0.21,6.0,2.62,2.41,0.52,5.0,3.54,3.02,-0.57,10,2.77,3.35,0.05,7,4.3,4.25,0.46,5.0,4.17,3.72,-0.03,8,3.19,3.22,-0.08,8,2.91,2.99
PT,Portugal,2006,40-59,0.21,6,4.05,3.84,0.18,7.0,2.55,2.37,0.38,6.0,2.61,2.23,-0.83,12,3.04,3.86,0.15,7,4.21,4.06,0.13,7.0,3.73,3.6,-0.1,8,3.27,3.37,0.02,7,2.95,2.93
PT,Portugal,2006,60+,0.29,6,3.75,3.46,0.23,6.0,2.61,2.38,0.26,6.0,1.6,1.34,-0.91,12,3.43,4.35,0.23,6,4.1,3.87,0.54,5.0,3.38,2.84,-0.06,8,3.61,3.67,0.12,7,3.03,2.91
PT,Portugal,2006,<25,-0.0,8,4.44,4.44,0.12,7.0,2.49,2.37,0.46,5.0,4.4,3.94,-0.78,11,2.43,3.21,0.0,7,4.42,4.42,-0.11,8.0,4.07,4.18,0.05,7,3.17,3.12,0.13,7,3.1,2.97
PT,Portugal,2006,AGGREGATE,0.26,6,4.05,3.79,0.2,6.0,2.58,2.38,0.5,5.0,2.65,2.16,-0.86,12,3.05,3.91,0.16,7,4.22,4.05,0.38,6.0,3.74,3.35,-0.07,8,3.36,3.43,0.05,7,2.99,2.94
RU,Russian Federation,2006,25-39,0.3,6,3.93,3.63,0.16,7.0,2.33,2.18,0.3,6.0,2.35,2.05,-0.44,10,2.07,2.51,0.11,7,3.6,3.49,0.35,6.0,3.42,3.07,-0.01,8,3.81,3.82,-0.15,8,2.48,2.63
RU,Russian Federation,2006,40-59,0.23,6,3.69,3.46,0.08,7.0,2.42,2.34,0.04,7.0,1.63,1.59,-0.81,12,1.98,2.78,0.02,7,3.24,3.22,0.38,6.0,3.15,2.77,0.06,7,4.0,3.94,-0.14,8,2.48,2.62
RU,Russian Federation,2006,60+,0.3,6,3.36,3.06,0.22,6.0,2.76,2.54,0.03,7.0,1.11,1.08,-1.06,13,2.2,3.25,-0.18,8,3.04,3.22,0.21,6.0,2.54,2.32,-0.11,8,4.13,4.23,-0.09,8,2.73,2.82
RU,Russian Federation,2006,<25,0.35,6,4.29,3.94,-0.02,8.0,2.18,2.2,0.5,5.0,2.99,2.49,-0.49,10,1.94,2.43,0.39,6,4.32,3.93,0.48,5.0,3.66,3.19,0.13,7,3.77,3.64,-0.25,9,2.72,2.96
RU,Russian Federation,2006,AGGREGATE,0.35,6,3.79,3.44,0.09,7.0,2.43,2.35,0.29,6.0,1.95,1.66,-0.79,11,2.04,2.83,0.11,7,3.5,3.39,0.43,5.0,3.17,2.74,-0.02,8,3.93,3.95,-0.16,8,2.58,2.74
SE,Sweden,2006,25-39,0.13,7,4.94,4.81,0.1,7.0,2.4,2.3,0.13,7.0,5.56,5.44,-0.23,9,1.88,2.11,0.06,7,4.09,4.03,0.22,6.0,5.15,4.93,0.21,6,2.81,2.61,0.01,7,3.9,3.89
SE,Sweden,2006,40-59,0.15,7,4.87,4.72,0.15,7.0,2.55,2.4,0.15,7.0,4.79,4.64,-0.28,9,2.09,2.37,-0.01,8,3.86,3.87,0.1,7.0,5.24,5.14,0.07,7,2.85,2.78,0.09,7,3.89,3.79
SE,Sweden,2006,60+,0.29,6,4.79,4.5,-0.1,8.0,2.87,2.97,0.79,4.0,3.42,2.62,-0.58,10,2.22,2.8,-0.14,8,3.75,3.9,0.44,5.0,5.44,4.99,0.04,7,3.09,3.05,0.1,7,3.85,3.75
SE,Sweden,2006,<25,0.42,5,5.05,4.63,0.0,7.0,2.13,2.12,0.15,7.0,5.7,5.54,-0.45,10,1.78,2.22,0.15,7,4.5,4.35,0.33,6.0,5.15,4.83,0.34,6,2.95,2.6,-0.03,8,3.85,3.87
SE,Sweden,2006,AGGREGATE,0.24,6,4.89,4.66,0.01,7.0,2.54,2.53,0.45,5.0,4.74,4.28,-0.4,10,2.03,2.43,0.01,7,3.99,3.98,0.25,6.0,5.26,5.01,0.11,7,2.92,2.81,0.06,7,3.87,3.81
SI,Slovenia,2006,25-39,-0.02,8,4.66,4.68,0.1,7.0,2.34,2.25,0.23,6.0,4.82,4.59,-0.46,10,2.54,3.0,0.43,5,3.95,3.52,0.34,6.0,5.28,4.94,0.06,7,3.21,3.16,-0.07,8,3.01,3.08
SI,Slovenia,2006,40-59,0.09,7,4.38,4.29,0.09,7.0,2.53,2.44,0.1,7.0,3.46,3.37,-0.64,11,2.41,3.05,0.09,7,3.42,3.33,0.16,7.0,4.7,4.54,0.15,7,3.44,3.29,-0.09,8,2.95,3.04
SI,Slovenia,2006,60+,0.31,6,4.26,3.95,-0.05,8.0,2.74,2.78,0.26,6.0,1.97,1.71,-0.76,11,2.66,3.43,0.31,6,3.32,3.01,0.32,6.0,4.79,4.48,0.01,7,3.66,3.65,-0.25,9,2.93,3.17
SI,Slovenia,2006,<25,0.12,7,4.8,4.68,-0.08,8.0,2.11,2.2,0.21,6.0,5.2,4.99,-0.23,9,2.6,2.83,0.13,7,4.26,4.12,0.08,7.0,5.45,5.37,0.45,5,3.51,3.07,-0.01,8,3.22,3.23
SI,Slovenia,2006,AGGREGATE,0.16,7,4.48,4.32,0.0,7.0,2.47,2.47,0.35,6.0,3.68,3.33,-0.59,10,2.53,3.12,0.27,6,3.66,3.38,0.26,6.0,4.98,4.72,0.12,7,3.46,3.33,-0.11,8,3.0,3.11
SK,Slovakia,2006,25-39,0.2,6,4.3,4.1,0.1,7.0,2.68,2.59,0.33,6.0,3.53,3.2,-0.69,11,2.82,3.51,0.22,6,3.79,3.57,0.32,6.0,3.87,3.55,0.0,7,3.43,3.43,-0.04,8,3.07,3.11
SK,Slovakia,2006,40-59,0.19,7,4.05,3.85,0.01,7.0,2.74,2.73,0.14,7.0,2.81,2.67,-0.69,11,3.11,3.8,0.23,6,3.55,3.32,0.05,7.0,3.6,3.55,0.04,7,3.53,3.49,0.0,7,3.04,3.04
SK,Slovakia,2006,60+,0.3,6,3.79,3.49,0.13,7.0,2.94,2.81,0.17,7.0,1.73,1.56,-0.96,12,3.48,4.45,0.2,6,3.3,3.1,0.0,7.0,3.26,3.25,-0.01,8,3.65,3.66,-0.08,8,3.1,3.18
SK,Slovakia,2006,<25,0.13,7,4.41,4.28,-0.08,8.0,2.44,2.51,0.29,6.0,4.46,4.17,-0.37,9,3.01,3.37,-0.01,8,4.18,4.19,0.19,7.0,4.14,3.95,0.28,6,3.54,3.25,-0.08,8,3.1,3.18
SK,Slovakia,2006,AGGREGATE,0.22,6,4.13,3.91,0.03,7.0,2.71,2.67,0.28,6.0,3.09,2.81,-0.71,11,3.08,3.8,0.2,6,3.68,3.48,0.15,7.0,3.7,3.55,0.05,7,3.52,3.47,-0.04,8,3.07,3.11
UA,Ukraine,2006,25-39,0.24,6,3.76,3.52,0.11,7.0,2.42,2.32,0.37,6.0,2.04,1.67,-0.59,10,2.8,3.39,-0.05,8,3.78,3.84,0.22,6.0,3.01,2.79,-0.07,8,3.6,3.67,-0.13,8,2.04,2.17
UA,Ukraine,2006,40-59,0.28,6,3.46,3.18,0.06,7.0,2.54,2.48,0.1,7.0,1.53,1.43,-0.61,11,2.81,3.42,0.02,7,3.69,3.67,0.18,7.0,2.76,2.59,0.16,7,3.96,3.8,0.05,7,2.06,2.01
UA,Ukraine,2006,60+,0.28,6,3.05,2.77,0.13,7.0,2.88,2.74,-0.01,8.0,1.19,1.2,-1.06,13,2.86,3.93,-0.1,8,3.35,3.44,0.36,6.0,2.36,2.0,-0.0,8,4.05,4.05,-0.06,8,2.18,2.24
UA,Ukraine,2006,<25,0.23,6,4.01,3.78,-0.04,8.0,2.31,2.36,0.59,5.0,2.61,2.02,-0.59,10,2.74,3.33,0.2,6,4.44,4.24,0.21,6.0,3.22,3.0,0.01,7,3.61,3.61,-0.2,9,2.11,2.32
UA,Ukraine,2006,AGGREGATE,0.31,6,3.49,3.17,0.06,7.0,2.58,2.53,0.24,6.0,1.7,1.47,-0.77,11,2.81,3.59,0.03,7,3.72,3.69,0.3,6.0,2.76,2.46,0.02,7,3.84,3.82,-0.06,8,2.1,2.16
BE,Belgium,2008,25-39,0.09,7,4.7,4.61,0.27,6.0,2.67,2.4,-0.01,8.0,5.0,5.02,-0.36,9,2.15,2.51,0.19,7,4.03,3.84,-0.04,8.0,4.63,4.67,0.18,7,3.02,2.84,0.04,7,3.51,3.47
BE,Belgium,2008,40-59,0.11,7,4.59,4.48,0.12,7.0,2.7,2.58,0.35,6.0,4.42,4.06,-0.25,9,2.36,2.61,-0.01,8,3.63,3.64,0.08,7.0,4.7,4.62,0.07,7,2.97,2.9,0.15,7,3.54,3.39
BE,Belgium,2008,60+,0.19,7,4.52,4.33,0.04,7.0,2.81,2.77,0.8,4.0,2.75,1.95,-0.73,11,2.72,3.46,-0.08,8,3.59,3.68,0.34,6.0,4.35,4.02,-0.0,8,3.22,3.23,0.03,7,3.37,3.34
BE,Belgium,2008,<25,0.23,6,4.75,4.52,0.01,7.0,2.23,2.22,0.04,7.0,5.45,5.41,-0.19,8,2.12,2.31,0.18,7,4.38,4.21,0.05,7.0,4.81,4.76,0.12,7,2.96,2.84,-0.19,8,3.69,3.88
BE,Belgium,2008,AGGREGATE,0.15,7,4.62,4.47,0.11,7.0,2.65,2.54,0.4,6.0,4.26,3.86,-0.41,10,2.37,2.78,0.04,7,3.82,3.78,0.12,7.0,4.61,4.48,0.07,7,3.04,2.97,0.04,7,3.51,3.47
BG,Bulgaria,2008,25-39,0.25,6,4.02,3.77,0.04,7.0,2.46,2.42,-0.12,8.0,3.41,3.53,-0.53,10,2.32,2.84,0.17,7,4.12,3.95,-0.03,8.0,2.86,2.88,0.09,7,3.31,3.22,-0.08,8,2.15,2.23
BG,Bulgaria,2008,40-59,0.2,7,3.62,3.43,0.1,7.0,2.58,2.48,0.03,7.0,2.84,2.81,-0.63,11,2.32,2.95,0.09,7,3.85,3.76,0.23,6.0,2.86,2.63,0.24,6,3.42,3.18,-0.06,8,2.12,2.18
BG,Bulgaria,2008,60+,0.37,6,3.28,2.91,0.17,7.0,2.81,2.64,0.0,7.0,1.51,1.51,-0.79,11,2.37,3.16,0.12,7,3.72,3.6,0.35,6.0,2.5,2.15,0.07,7,3.45,3.38,-0.07,8,2.14,2.21
BG,Bulgaria,2008,<25,0.23,6,4.42,4.18,-0.04,8.0,2.13,2.17,0.73,4.0,4.78,4.04,-0.44,10,2.2,2.64,0.44,5,4.76,4.32,0.26,6.0,3.11,2.85,0.13,7,3.28,3.14,-0.14,8,2.14,2.28
BG,Bulgaria,2008,AGGREGATE,0.28,6,3.62,3.34,0.11,7.0,2.61,2.5,0.03,7.0,2.55,2.52,-0.66,11,2.33,2.99,0.15,7,3.92,3.78,0.23,6.0,2.73,2.5,0.14,7,3.38,3.24,-0.07,8,2.14,2.21
CH,Switzerland,2008,25-39,0.13,7,4.99,4.87,0.2,7.0,2.44,2.25,0.11,7.0,5.25,5.15,-0.43,10,2.44,2.87,0.25,6,4.08,3.83,-0.02,8.0,4.1,4.12,0.05,7,2.83,2.78,-0.09,8,3.96,4.04
CH,Switzerland,2008,40-59,0.06,7,4.89,4.83,0.03,7.0,2.41,2.39,0.3,6.0,4.9,4.6,-0.57,10,2.6,3.17,0.0,7,3.82,3.82,0.16,7.0,4.42,4.26,0.16,7,2.92,2.76,-0.01,8,4.0,4.0
CH,Switzerland,2008,60+,0.23,6,4.83,4.6,-0.06,8.0,2.65,2.71,0.8,4.0,3.17,2.38,-0.65,11,3.16,3.81,0.02,7,3.64,3.62,0.6,5.0,4.25,3.65,-0.0,8,3.18,3.18,0.0,7,3.96,3.96
CH,Switzerland,2008,<25,0.26,6,5.16,4.9,0.16,7.0,2.25,2.09,0.21,6.0,5.64,5.43,-0.09,8,2.32,2.41,0.09,7,4.31,4.21,0.34,6.0,4.38,4.04,0.29,6,3.05,2.76,0.09,7,4.13,4.04
CH,Switzerland,2008,AGGREGATE,0.15,7,4.92,4.77,0.04,7.0,2.48,2.43,0.45,5.0,4.54,4.08,-0.54,10,2.7,3.24,0.09,7,3.88,3.79,0.26,6.0,4.28,4.02,0.09,7,2.99,2.9,-0.01,8,3.99,4.0
CY,Cyprus,2008,25-39,0.16,7,4.98,4.82,0.19,7.0,2.7,2.51,0.22,6.0,4.11,3.89,-0.73,11,3.2,3.93,0.24,6,3.8,3.56,-0.07,8.0,4.2,4.27,0.3,6,3.41,3.11,0.05,7,3.55,3.5
CY,Cyprus,2008,40-59,0.22,6,4.79,4.57,0.18,7.0,2.69,2.5,0.48,5.0,2.94,2.46,-0.88,12,3.49,4.36,0.32,6,3.47,3.14,0.34,6.0,4.41,4.07,-0.05,8,3.41,3.46,0.05,7,3.78,3.73
CY,Cyprus,2008,60+,0.49,5,4.42,3.93,0.3,6.0,2.81,2.52,0.31,6.0,1.8,1.49,-0.86,12,4.08,4.94,0.4,6,3.18,2.78,0.57,5.0,3.95,3.37,0.02,7,3.74,3.73,0.17,7,4.19,4.02
CY,Cyprus,2008,<25,0.16,7,5.11,4.94,-0.09,8.0,2.37,2.46,-0.12,8.0,4.61,4.73,-0.93,12,3.21,4.13,0.32,6,4.07,3.75,0.18,7.0,4.53,4.35,0.27,6,3.34,3.07,-0.05,8,3.53,3.58
CY,Cyprus,2008,AGGREGATE,0.24,6,4.78,4.53,0.2,7.0,2.7,2.5,0.18,7.0,3.15,2.97,-0.82,12,3.53,4.36,0.29,6,3.55,3.27,0.24,6.0,4.23,3.99,0.14,7,3.49,3.36,0.08,7,3.8,3.71
CZ,Czechia,2008,25-39,0.08,7,4.47,4.39,0.01,7.0,2.45,2.44,0.05,7.0,4.68,4.63,-0.07,8,1.62,1.69,0.18,7,3.73,3.55,0.02,7.0,3.29,3.27,0.08,7,3.42,3.34,-0.03,8,2.85,2.88
CZ,Czechia,2008,40-59,0.15,7,4.14,3.99,0.07,7.0,2.62,2.55,0.08,7.0,3.69,3.6,-0.11,8,1.68,1.79,0.15,7,3.44,3.29,0.21,6.0,3.33,3.12,0.21,6,3.47,3.26,-0.02,8,2.89,2.91
CZ,Czechia,2008,60+,0.2,6,3.93,3.73,0.12,7.0,2.87,2.75,0.32,6.0,2.18,1.86,-0.91,12,1.71,2.62,0.09,7,3.37,3.28,0.33,6.0,2.97,2.65,0.1,7,3.47,3.36,0.04,7,2.91,2.87
CZ,Czechia,2008,<25,0.16,7,4.79,4.62,0.01,7.0,2.21,2.2,0.35,6.0,5.25,4.89,-0.22,9,1.53,1.74,0.29,6,4.32,4.03,0.17,7.0,3.31,3.14,0.14,7,3.29,3.15,-0.21,9,3.08,3.29
CZ,Czechia,2008,AGGREGATE,0.19,7,4.25,4.06,0.04,7.0,2.6,2.56,0.36,6.0,3.73,3.38,-0.39,9,1.65,2.05,0.17,7,3.6,3.42,0.23,6.0,3.22,2.99,0.13,7,3.43,3.3,-0.02,8,2.9,2.93
DE,Germany,2008,25-39,0.16,7,4.51,4.35,0.06,7.0,2.43,2.36,0.28,6.0,5.14,4.86,-0.23,9,2.18,2.41,0.17,7,3.77,3.61,0.18,7.0,3.66,3.48,0.12,7,2.92,2.8,0.06,7,3.62,3.56
DE,Germany,2008,40-59,0.18,7,4.44,4.26,0.03,7.0,2.57,2.53,0.22,6.0,4.49,4.28,-0.39,9,2.28,2.67,-0.1,8,3.51,3.61,0.15,7.0,3.99,3.85,0.13,7,2.96,2.83,0.02,7,3.67,3.66
DE,Germany,2008,60+,0.25,6,4.31,4.06,0.04,7.0,2.89,2.84,0.94,3.0,2.93,1.99,-0.55,10,2.58,3.13,-0.04,8,3.42,3.47,0.39,6.0,3.83,3.44,0.03,7,3.26,3.23,-0.06,8,3.57,3.63
DE,Germany,2008,<25,0.28,6,4.65,4.37,-0.03,8.0,2.25,2.28,0.26,6.0,5.46,5.2,-0.19,8,2.13,2.31,0.21,6,4.33,4.12,0.25,6.0,3.74,3.49,0.11,7,2.88,2.77,0.0,7,3.79,3.79
DE,Germany,2008,AGGREGATE,0.21,6,4.44,4.23,0.03,7.0,2.61,2.58,0.46,5.0,4.23,3.77,-0.39,9,2.34,2.73,0.01,7,3.62,3.62,0.23,6.0,3.85,3.62,0.1,7,3.03,2.94,0.0,7,3.64,3.64
DK,Denmark,2008,25-39,0.22,6,5.2,4.97,0.16,7.0,2.58,2.42,-0.19,8.0,5.5,5.69,-0.44,10,1.97,2.41,0.08,7,4.12,4.04,-0.0,8.0,4.68,4.68,0.2,6,2.73,2.53,0.16,7,4.53,4.37
DK,Denmark,2008,40-59,0.07,7,5.05,4.98,0.1,7.0,2.71,2.62,-0.12,8.0,5.08,5.2,-0.33,9,2.1,2.43,-0.06,8,4.0,4.06,0.05,7.0,4.93,4.88,0.22,6,2.88,2.67,-0.07,8,4.42,4.49
DK,Denmark,2008,60+,0.22,6,4.99,4.77,-0.15,8.0,2.95,3.1,0.58,5.0,3.87,3.29,-0.57,10,2.42,2.99,-0.15,8,3.86,4.01,0.31,6.0,4.3,3.99,0.09,7,3.12,3.03,0.08,7,4.41,4.33
DK,Denmark,2008,<25,0.23,6,5.12,4.89,0.14,7.0,2.41,2.27,-0.18,8.0,5.64,5.81,-0.17,8,1.89,2.06,0.12,7,4.6,4.48,0.18,7.0,4.5,4.32,0.27,6,2.87,2.6,-0.1,8,4.28,4.38
DK,Denmark,2008,AGGREGATE,0.16,7,5.06,4.9,0.03,7.0,2.74,2.71,0.07,7.0,4.8,4.73,-0.41,10,2.17,2.57,-0.04,8,4.04,4.08,0.1,7.0,4.62,4.52,0.18,7,2.94,2.75,0.02,7,4.42,4.4
EE,Estonia,2008,25-39,-0.06,8,4.23,4.29,0.12,7.0,2.76,2.63,-0.13,8.0,5.27,5.4,-0.41,10,1.93,2.35,0.19,7,3.72,3.53,0.18,7.0,4.33,4.15,0.4,5,3.72,3.32,0.08,7,3.38,3.3
EE,Estonia,2008,40-59,0.08,7,3.98,3.9,0.12,7.0,2.86,2.75,-0.45,10.0,4.09,4.54,-0.38,9,2.01,2.39,-0.08,8,3.17,3.26,0.25,6.0,4.04,3.79,0.19,7,3.71,3.52,-0.09,8,3.23,3.32
EE,Estonia,2008,60+,0.11,7,3.76,3.65,0.01,7.0,3.17,3.16,0.54,5.0,2.75,2.21,-0.47,10,2.15,2.62,0.0,7,3.03,3.03,0.43,5.0,3.69,3.25,-0.01,8,3.81,3.83,0.09,7,3.48,3.39
EE,Estonia,2008,<25,-0.14,8,4.34,4.48,0.09,7.0,2.44,2.35,-0.06,8.0,5.65,5.71,-0.31,9,1.83,2.14,0.1,7,4.3,4.21,0.07,7.0,4.23,4.16,0.23,6,3.47,3.24,-0.17,8,3.38,3.55
